accession	start	end
CFF_chr_contig_1	43603	46311
LIUU01000010.1	211344	213106
LIUU01000010.1	1068	450
LIUU01000010.1	456	159
LIUU01000010.1	455	359
ANE_chrIX_contig_2	112926	111166
CABIKC010000014.1	175409	173649
CABIKC010000014.1	379645	380422
CFF_chrIX_contig_2	88862	87108
CFF_chrIX_contig_2	300033	300810
CFF_chrIX_contig_2	302727	302947
BAL_chrIX_contig_2	189727	191488
CEI_chrIX_contig_1	261566	263344
CEI_chrIX_contig_1	51061	50291
CEI_chrIX_contig_1	48136	47916
CEI_chrIX_contig_1	50593	50488
BAL_chrIX_contig_3	34857	35634
BAL_chrIX_contig_3	38097	38317
ANE_chrIX_contig_4	57201	57819
ANE_chrIX_contig_4	60186	60406
ANE_chrIX_contig_4	57813	58021
LIUU01000019.1	960	1179
