gene	accession	%match	align_length	mismatch	gapopen	query_length	start	end	e-value	bitscore
STA1	CFF_chr_contig_1	96.448	2759	30	44	1	2741	46311	43603	0.0	4490
STA1	LIUU01000010.1	98.697	1765	18	3	992	2753	213106	211344	0.0	3127
STA1	LIUU01000010.1	97.577	619	15	0	374	992	450	1068	0.0	1061
STA1	LIUU01000010.1	96.309	298	11	0	215	512	159	456	4.51e-137	490
STA1	LIUU01000010.1	95.876	97	4	0	736	832	359	455	5.20e-37	158
STA1	ANE_chrIX_contig_2	98.695	1763	20	2	992	2753	111166	112926	0.0	3125
STA1	CABIKC010000014.1	98.525	1763	23	2	992	2753	173649	175409	0.0	3109
STA1	CABIKC010000014.1	97.558	778	19	0	215	992	380422	379645	0.0	1332
STA1	CFF_chrIX_contig_2	98.525	1763	17	2	992	2753	87108	88862	0.0	3103
STA1	CFF_chrIX_contig_2	97.558	778	19	0	215	992	300810	300033	0.0	1332
STA1	CFF_chrIX_contig_2	95.023	221	11	0	1	221	302947	302727	2.87e-94	348
STA1	BAL_chrIX_contig_2	98.242	1763	29	2	992	2753	191488	189727	0.0	3083
STA1	CEI_chrIX_contig_1	96.348	1780	46	4	992	2753	263344	261566	0.0	2909
STA1	CEI_chrIX_contig_1	95.995	774	25	2	215	985	50291	51061	0.0	1253
STA1	CEI_chrIX_contig_1	95.475	221	10	0	1	221	47916	48136	6.18e-96	353
STA1	CEI_chrIX_contig_1	95.283	106	5	0	736	841	50488	50593	2.40e-40	169
STA1	BAL_chrIX_contig_3	97.558	778	19	0	215	992	35634	34857	0.0	1332
STA1	BAL_chrIX_contig_3	95.023	221	11	0	1	221	38317	38097	2.87e-94	348
STA1	ANE_chrIX_contig_4	97.900	619	13	0	374	992	57819	57201	0.0	1072
STA1	ANE_chrIX_contig_4	95.475	221	10	0	1	221	60406	60186	6.18e-96	353
STA1	ANE_chrIX_contig_4	96.651	209	7	0	304	512	58021	57813	2.87e-94	348
STA1	LIUU01000019.1	95.023	221	10	1	1	221	1179	960	1.03e-93	346
