gene	accession	%match	align_length	mismatch	gapopen	query_length	start	end	e-value	bitscore
MAL12	LIUU01000065.1	99.943	1755	1	0	1	1755	332888	334642	0.0	3236
MAL12	LIUU01000005.1	99.544	1755	8	0	1	1755	7691	5937	0.0	3197
MAL12	CFF_chrVII_contig_6	99.430	1755	10	0	1	1755	24092	22338	0.0	3186
MAL12	ANE_chrVII_contig_2	99.203	1756	11	3	1	1755	14808	13055	0.0	3162
MAL12	CABIKC010000008.1	98.803	1755	21	0	1	1755	734995	736749	0.0	3125
MAL12	BAL_chrVII_contig_1	98.123	1758	30	2	1	1755	1056197	1057954	0.0	3061
MAL12	CEI_chrVII_contig_1	97.674	1763	32	5	1	1755	11947	10186	0.0	3020
MAL12	ANE_chrII_contig_3	99.286	420	3	0	1336	1755	6642	6223	0.0	760
MAL12	CABIKC010000005.1	98.810	420	5	0	1336	1755	6764	6345	0.0	749
MAL12	CEI_chrII_contig_1	97.619	420	10	0	1336	1755	791955	792374	0.0	721
